ppt_id,anx,transport,road_type
1,39,cyclist,rural_road
2,41,cyclist,city_street
3,38,motorist,rural_road
4,63,cyclist,dual_carriageway
5,18,motorist,rural_road
6,47,cyclist,dual_carriageway
7,25,motorist,rural_road
8,29,motorist,city_street
9,33,motorist,dual_carriageway
10,38,cyclist,city_street
11,50,cyclist,dual_carriageway
12,11,cyclist,rural_road
13,33,cyclist,city_street
14,11,motorist,rural_road
15,40,motorist,rural_road
16,19,motorist,city_street
17,52,cyclist,dual_carriageway
18,58,cyclist,dual_carriageway
19,23,motorist,dual_carriageway
20,21,motorist,dual_carriageway
21,42,motorist,city_street
22,31,motorist,rural_road
23,25,motorist,rural_road
24,41,motorist,rural_road
25,29,motorist,rural_road
26,37,motorist,rural_road
27,37,motorist,city_street
28,17,motorist,city_street
29,15,motorist,rural_road
30,47,motorist,dual_carriageway
31,17,motorist,rural_road
32,52,cyclist,dual_carriageway
33,40,cyclist,dual_carriageway
34,38,motorist,dual_carriageway
35,31,motorist,city_street
36,22,motorist,rural_road
37,62,cyclist,dual_carriageway
38,38,cyclist,city_street
39,43,cyclist,city_street
40,30,motorist,city_street
41,47,motorist,city_street
42,19,motorist,dual_carriageway
43,34,motorist,dual_carriageway
44,30,cyclist,rural_road
45,43,motorist,city_street
46,55,cyclist,dual_carriageway
47,29,motorist,dual_carriageway
48,28,motorist,dual_carriageway
49,21,motorist,dual_carriageway
50,55,cyclist,city_street
51,23,cyclist,rural_road
52,47,cyclist,city_street
53,31,motorist,rural_road
54,19,motorist,city_street
55,60,cyclist,dual_carriageway
56,30,motorist,rural_road
57,24,cyclist,dual_carriageway
58,48,cyclist,dual_carriageway
59,34,cyclist,rural_road
60,26,cyclist,rural_road
61,38,motorist,city_street
62,44,cyclist,city_street
63,26,cyclist,city_street
64,49,cyclist,dual_carriageway
65,38,motorist,city_street
66,23,motorist,dual_carriageway
67,41,motorist,city_street
68,14,cyclist,rural_road
69,32,motorist,rural_road
70,17,motorist,rural_road
71,30,cyclist,rural_road
72,30,cyclist,city_street
73,16,cyclist,rural_road
74,67,cyclist,dual_carriageway
75,30,cyclist,rural_road
76,44,cyclist,city_street
77,31,motorist,rural_road
78,20,motorist,dual_carriageway
79,23,cyclist,rural_road
80,30,motorist,city_street
81,48,cyclist,rural_road
82,29,cyclist,rural_road
83,27,motorist,city_street
84,20,motorist,rural_road
85,49,cyclist,dual_carriageway
86,36,motorist,dual_carriageway
87,27,motorist,city_street
88,37,motorist,city_street
89,41,motorist,dual_carriageway
90,28,motorist,dual_carriageway
91,19,motorist,rural_road
92,40,motorist,dual_carriageway
93,21,motorist,city_street
94,25,motorist,dual_carriageway
95,37,cyclist,city_street
96,23,motorist,dual_carriageway
97,33,motorist,rural_road
98,37,cyclist,dual_carriageway
99,30,motorist,dual_carriageway
100,27,cyclist,rural_road
101,20,cyclist,rural_road
102,17,cyclist,rural_road
103,30,cyclist,city_street
104,43,motorist,city_street
105,17,motorist,rural_road
106,37,motorist,city_street
107,41,motorist,dual_carriageway
108,37,cyclist,city_street
109,47,cyclist,rural_road
110,33,motorist,city_street
111,53,cyclist,dual_carriageway
112,43,motorist,city_street
113,51,cyclist,city_street
114,36,motorist,dual_carriageway
115,43,motorist,dual_carriageway
116,36,cyclist,city_street
117,32,motorist,rural_road
118,43,cyclist,city_street
119,44,motorist,dual_carriageway
120,26,motorist,dual_carriageway
121,13,motorist,rural_road
122,26,cyclist,rural_road
123,28,cyclist,city_street
124,40,motorist,rural_road
125,24,motorist,dual_carriageway
126,27,motorist,city_street
127,19,cyclist,rural_road
128,30,cyclist,rural_road
129,10,cyclist,rural_road
130,15,motorist,city_street
131,17,cyclist,city_street
132,28,cyclist,city_street
133,55,cyclist,city_street
134,39,cyclist,city_street
135,34,cyclist,rural_road
136,22,motorist,city_street
137,38,motorist,dual_carriageway
138,60,cyclist,dual_carriageway
139,21,motorist,rural_road
140,29,motorist,city_street
141,38,cyclist,city_street
142,43,cyclist,dual_carriageway
143,46,motorist,dual_carriageway
144,37,cyclist,city_street
145,48,cyclist,city_street
146,54,cyclist,dual_carriageway
147,23,cyclist,rural_road
148,24,motorist,city_street
149,50,cyclist,city_street
150,41,cyclist,city_street
151,45,cyclist,dual_carriageway
152,34,cyclist,city_street
153,21,cyclist,rural_road
154,39,cyclist,rural_road
155,48,cyclist,dual_carriageway
156,31,motorist,dual_carriageway
157,37,motorist,dual_carriageway
158,35,motorist,city_street
159,43,cyclist,rural_road
160,23,cyclist,rural_road
161,23,motorist,rural_road
162,42,cyclist,city_street
163,44,cyclist,dual_carriageway
164,36,motorist,dual_carriageway
165,14,cyclist,rural_road
166,36,motorist,city_street
167,28,cyclist,rural_road
168,32,motorist,dual_carriageway
169,20,motorist,rural_road
170,30,cyclist,dual_carriageway
171,42,motorist,dual_carriageway
172,23,cyclist,rural_road
173,60,cyclist,dual_carriageway
174,20,motorist,city_street
175,50,cyclist,rural_road
176,31,cyclist,rural_road
177,20,cyclist,rural_road
178,57,cyclist,dual_carriageway
179,39,motorist,city_street
180,38,motorist,city_street
181,20,cyclist,rural_road
182,22,cyclist,rural_road
183,54,cyclist,dual_carriageway
184,34,cyclist,city_street
185,25,cyclist,dual_carriageway
186,30,cyclist,rural_road
187,29,motorist,city_street
188,27,motorist,dual_carriageway
189,51,cyclist,dual_carriageway
190,51,motorist,dual_carriageway
191,31,cyclist,rural_road
192,49,cyclist,city_street
193,21,motorist,city_street
194,53,motorist,dual_carriageway
195,38,cyclist,dual_carriageway
196,19,motorist,rural_road
197,29,motorist,rural_road
198,50,cyclist,dual_carriageway
199,34,motorist,dual_carriageway
200,38,motorist,dual_carriageway
201,36,motorist,city_street
202,52,cyclist,city_street
203,32,cyclist,dual_carriageway
204,27,motorist,dual_carriageway
205,46,cyclist,city_street
206,28,motorist,dual_carriageway
207,32,motorist,city_street
208,43,cyclist,rural_road
209,41,cyclist,dual_carriageway
210,29,motorist,dual_carriageway
211,53,cyclist,city_street
212,49,motorist,city_street
213,45,motorist,rural_road
214,34,motorist,rural_road
215,37,motorist,rural_road
216,28,cyclist,dual_carriageway
