"","...1","screen_name","favorite_count","retweet_count","media_type","text"
"1",539,"oceana",438,121,"Photo","GOOD NEWS: A new coral census reveals there are half a trillion corals in the Pacific Ocean. Learn more:"
"2",22589,"sascampaigns",0,0,"Nophoto","@Isabella_Kam We've changed the law on plastic straws, stirrers and ear buds ;)"
"3",62705,"ClimateReality",49,14,"Nophoto","We<U+0092>re keeping everyone in Lake Charles, Louisiana in our thoughts as they once again begin to bail out from flood waters."
"4",114033,"pawtitions",9,32,"Photo","Demand harsher animal cruelty laws in the #UnitedKingdom:"
"5",38309,"therightblue",1,0,"Nophoto","Wildfire smoke is everywhere now. Here are the best apps to check air quality in your area."
"6",62185,"ClimateReality",654,226,"Nophoto","Last month was North America<U+0092>s hottest June on record. Again. We cannot keep ignoring the climate crisis and hoping it will go away."
"7",111372,"Network4Animals",25,29,"Photo","During our feeding mission, we came across a hungry, topaz-eyed mama #dog who lifted her head as a sign of gratitude. We were inspired. 

Donations help us tremendously! Not only to conduct feeding programs but also to fund spay &amp; neuter clinics."
"8",99552,"Protect_Wldlife",34,11,"Nophoto","Well said Phil <U+0001F44D>."
"9",4624,"OurOcean",33,20,"Nophoto","Scientists recently estimated that 129 billion face masks and 65 billion gloves have been used globally each month. 

Unfortunately, most of these items are single-use and<U+0097>because they are biohazards, among other reasons<U+0097>can not be recycled.

Read more:
"
"10",27087,"SharkTrustUK",8,6,"Photo","Day 12 of #22angels is the Cailliet's #Angelshark (Squatina caillieti). This shark was only described in 2011 &amp; is named after ichthyologist Gregor Cailliet. It's known from a single specimen found in Luzon, Philippines &amp; is Data Deficient on @IUCNRedList"
"11",113912,"pawtitions",11,34,"Nophoto","Six sick and injured animals were rescued from a TN PetSmart. For one of them, the rescue was too late. Demand justice for these animals. 
#PetSmartCruelty

"
"12",80666,"MoveTheWorld",59,21,"Nophoto","We welcome this decision by the local authorities in China, but the problem doesn't stop at #Wuhan. 

To help protect animals, people and planet from future pandemics, we need to end the cruel global wildlife trade, forever.

#EndWildlifeTrade

"
"13",37857,"therightblue",0,0,"Nophoto","A new fast-burning Californina fire has closed part of Highway 101
"
"14",108389,"TreehuggerTwo",10,1,"Photo","When it comes to matchmaking and demanding that the match yield children, a bonobo mom is a force of nature."
"15",56624,"EnvAgency",36,1,"Photo","Our field monitoring team was out and about checking groundwater levels in the East Midlands when they met these nosy cows.

The team collects vital data that helps us understand what water resources are available during long dry periods.

#TeamEA"
"16",36313,"1World1Ocean",1,0,"Nophoto","@EricaHaywardart Thanks for following, Erica! <U+0001F990>"
"17",111520,"Network4Animals",19,27,"Photo","Desperation, starvation, cruelty, disease, and neglect <U+0096> this is what 365 stray #dogs we've managed to count in Cape Town<U+0092>s West Lake Township endure daily. And there are lots more! Without support, these souls won<U+0092>t last long. 

"
"18",114677,"pawtitions",5,23,"Photo","Support help for tortured farm animals: 
"
"19",14611,"whalesorg",39,27,"Photo","Two more dolphins die in #EU captive facilities - how many more have to die this way? The death rate for captive bottlenose #dolphins &amp; #belugas is higher in captivity than in the wild &amp;, for #orcas, 2.5 times higher than in the wild. #EndCaptivity 

<U+27A1><U+FE0F>"
"20",76827,"RSPCA_official",0,0,"Nophoto","@cmara87 Thank you for getting in touch! Please call us to report this: 0300 1234 999"
"21",95245,"ASPCA",161,60,"Photo","This #NationalPuppyDay, you can help end puppy mill cruelty by supporting a ban on the sale of dogs and cats in NY<U+0092>s pet stores. <U+0001F49B><U+0001F436> Take action:"
"22",66772,"EcoWatch",10,10,"Nophoto","""If #Florida were a country, it would rank fourth in the world for the most new cases in a day behind the #UnitedStates, #Brazil and #India."" -- @Reuters #coronavirus #pandemic #COVID19"
"23",84878,"PDSA_HQ",0,0,"Nophoto","@Gemma_OnyxDance Hi there, please can you complete a call-back request form if you're still struggling to get through:"
"24",7937,"coral_org",50,18,"Photo","Let<U+0092>s talk about #symbiosis! Symbiosis happens when two species have a mutually beneficial relationship. #Zooxanthellae live within #coral polyps and provide corals with oxygen and other things. The polyps provide the algae with shelter in return. What a perfect pair! <U+0001F46F><U+200D><U+2640><U+FE0F>"
"25",20810,"Seasaver",61,21,"Nophoto","Wally ""needs to feed up and rest peacefully without interruption"""
"26",121231,"SheldrickTrust",1152,137,"Photo","Swish and swirl, Mashariki shows how to make waves with her trunk! As with all the orphans in our care, we've shared full details behind her rescue, as well as her current reintegration status, at:"
"27",97589,"AnimalAid",38,18,"Nophoto","While we object to the killing of grey squirrels altogether, we support Urban Squirrels' petition for a closed season on grey squirrel culling which will save babies of nursing mother squirrels from a terrible fate. Please sign and share.
@natalia_doran 

"
"28",79151,"DogsTrust",1,0,"Nophoto","@Alfie29494114 Happy 8th birthday Alfie! <U+0001F973> We are so happy you've found your forever home <U+0001F49B>"
"29",118424,"Animals1st",14,19,"Nophoto","ITV viewers demand change during Ross Kemp's 'eye-opening' wild animal doc 

"
"30",9079,"coral_org",0,0,"Nophoto","@cassdives Thanks for the retweet!"
"31",18895,"MissionBlue",85,14,"Photo","Some hopeful news: the Exmouth Gulf and Ningaloo Coast World Heritage Area Hope Spot will be the focus of a cumulative impact study! Results of this study will help determine future management of this important area."
"32",7922,"coral_org",8,2,"Photo","Dr. Antonella Rivera fell in love with #coralreefs the first time she saw--but never in her wildest dreams did she think she<U+0092>d spend her days as a #marinebiologist talking about sewage<U+0097>learn why potty talk gives her hope!"
"33",49475,"Greenpeace",57,13,"Nophoto","In the face of so many horrific hate crimes and violence happening all around the world, we must boldly face the truth and take actions against all forms of injustices. We must do everything in our power to eradicate the systemic racism so deeply entrenched in our society. [2/3]"
"34",38749,"therightblue",1,0,"Nophoto",NA
"35",87462,"WWF",81,14,"Nophoto","Did you join #EarthHour? Check out our @facebook to see some spectacular photos from the night!"
