weeknr,week,lec,leclink,lab,lablink
1.01,Sem 1 Week 1 (01),Introduction to linear regression,https://uoepsy.github.io/dapr2/2627/lectures/block1_introLM/01a_introlm.html,01: Simple linear regression,https://uoepsy.github.io/dapr2/2627/labs/block1_introLM/01.html
1.02,Sem 1 Week 2 (02),Interpreting linear models,https://uoepsy.github.io/dapr2/2627/lectures/block1_introLM/02a_lm2.html,02: Multiple regression,https://uoepsy.github.io/dapr2/2627/labs/block1_introLM/02.html
1.03,Sem 1 Week 3 (03),Testing predictors and evaluating linear models,https://uoepsy.github.io/dapr2/2627/lectures/block1_introLM/03a_testingbeta.html,03: Significance tests,https://uoepsy.github.io/dapr2/2627/labs/block1_introLM/03.html
1.04,Sem 1 Week 4 (04),F-tests and model comparison,https://uoepsy.github.io/dapr2/2627/lectures/block1_introLM/04a_ftests.html,04: Model comparison,https://uoepsy.github.io/dapr2/2627/labs/block1_introLM/04.html
1.05,Sem 1 Week 5 (05),Practice analysis: Linear models (Study brief),https://uoepsy.github.io/dapr2/2627/lectures/block1_introLM/05_materials/05_analysis_brief.html,05: Practice write-up,https://uoepsy.github.io/dapr2/2627/labs/block1_introLM/05.html
1.06,Sem 1 Week 6,No Lecture,,No Lab,
1.07,Sem 1 Week 7 (06),Categorical predictors and treatment coding,https://uoepsy.github.io/dapr2/2627/lectures/block2_moreLM/06_treatment.html,06: Treatment coding,https://uoepsy.github.io/dapr2/2627/labs/block2_moreLM/06.html
1.08,Sem 1 Week 8 (07),Sum coding,https://uoepsy.github.io/dapr2/2627/lectures/block2_moreLM/07_sum.html,07: Sum coding,https://uoepsy.github.io/dapr2/2627/labs/block2_moreLM/07.html
1.09,Sem 1 Week 9 (08),Assumptions and diagnostics,https://uoepsy.github.io/dapr2/2627/lectures/block2_moreLM/08_assump_diag.html,08: Assumptions and diagnostics,https://uoepsy.github.io/dapr2/2627/labs/block2_moreLM/08.html
1.1,Sem 1 Week 10 (09),Bootstrapping and confidence intervals,https://uoepsy.github.io/dapr2/2627/lectures/block2_moreLM/09_boot.html,09: Bootstrapping,https://uoepsy.github.io/dapr2/2627/labs/block2_moreLM/09.html
1.11,Sem 1 Week 11 (10),Practice analysis: Categorical predictors (Study brief),https://uoepsy.github.io/dapr2/2627/lectures/block2_moreLM/10_materials/10_catpred_analysis_brief.html,10: Practice write-up,https://uoepsy.github.io/dapr2/2627/labs/block2_moreLM/10.html
2,---,,,,
2.01,Sem 2 Week 1 (11),Mean-centering and numeric/categorical interactions,https://uoepsy.github.io/dapr2/2627/lectures/block3_ixn/11_ixn_nc.html,11: Numeric/categorical interactions,https://uoepsy.github.io/dapr2/2627/labs/block3_ixns/11.html
2.02,Sem 2 Week 2 (12),Numeric/numeric interactions,https://uoepsy.github.io/dapr2/2627/lectures/block3_ixn/12_ixn_nn.html,12: Numeric/numeric interactions,https://uoepsy.github.io/dapr2/2627/labs/block3_ixns/12.html
2.03,Sem 2 Week 3 (13),Categorical/categorical interactions,https://uoepsy.github.io/dapr2/2627/lectures/block3_ixn/13_ixn_cc.html,13: Categorical/categorical interactions,https://uoepsy.github.io/dapr2/2627/labs/block3_ixns/13.html
2.04,Sem 2 Week 4 (14),Testing simple effects and correcting for multiple comparisons,https://uoepsy.github.io/dapr2/2627/lectures/block3_ixn/14_mult_comparisons.html,14: Testing simple effects,https://uoepsy.github.io/dapr2/2627/labs/block3_ixns/14.html
2.05,Sem 2 Week 5 (15),Practice analysis: Interactions (Study brief),https://uoepsy.github.io/dapr2/2627/lectures/block3_ixn/15_materials/15_ixn_analysis_brief.html,15: Practice write-up,https://uoepsy.github.io/dapr2/2627/labs/block3_ixns/15.html
2.06,Flexible Learning Week,No Lecture,,No Lab,
2.07,Sem 2 Week 6 (16),Probabilities and log-odds,https://uoepsy.github.io/dapr2/2627/lectures/block4_logistic/16_logodds.html,16: Probabilities and log-odds,https://uoepsy.github.io/dapr2/2627/labs/block4_logistic/16.html
2.08,Sem 2 Week 7 (17),Modelling binary outcomes with logistic regression,https://uoepsy.github.io/dapr2/2627/lectures/block4_logistic/17_logreg.html,17: Logistic regression with one predictor,https://uoepsy.github.io/dapr2/2627/labs/block4_logistic/17.html
2.09,Sem 2 Week 8 (18),"Interactions, assumptions, diagnostics, comparisons",https://uoepsy.github.io/dapr2/2627/lectures/block4_logistic/18_assump_diag_comp.html,18: Logistic regression with multiple predictors,https://uoepsy.github.io/dapr2/2627/labs/block4_logistic/18.html
2.1,Sem 2 Week 9 (19),Practice analysis: Logistic regression (Study brief),https://uoepsy.github.io/dapr2/2627/lectures/block4_logistic/19_materials/19_logreg_analysis_brief.html,19: Practice write-up,https://uoepsy.github.io/dapr2/2627/labs/block4_logistic/19.html
2.11,Sem 2 Week 10 (20),Report feedback [Access via Learn],,Mock Exam [Access via Learn],
,,Exam prep,https://uoepsy.github.io/dapr2/2627/lectures/block4_logistic/20_materials/20b_examprep.html,,
,,,,,
,,,,,
,,,,,
,,, ,,
